n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,gamma,accuracy,f1_score,recall,precision,roc_auc,cv_score,train_score,overfitting
300,3,0.01,0.8,0.6,2,0,0.6866211329851346,0.6142433234421365,0.7093089663049685,0.541648495420846,0.7708210297997851,0.6883665391523851,0.6913301185453085,OK
300,3,0.01,0.8,0.6,2,1,0.6866211329851346,0.6142433234421365,0.7093089663049685,0.541648495420846,0.7707758123783177,0.6884167777858943,0.6913301185453085,OK
300,3,0.01,0.8,0.8,1,0,0.7255926074728807,0.5079250720461096,0.402627070245574,0.6878048780487804,0.7731240212109527,0.725738543869417,0.7297568816556158,OK
300,3,0.01,0.8,0.8,1,1,0.7255926074728807,0.5079250720461096,0.402627070245574,0.6878048780487804,0.7731141105432339,0.7258389959035707,0.7297568816556158,OK
300,3,0.01,0.8,0.8,2,0,0.6645239051828044,0.6216583597643861,0.7835522558537978,0.5152084115659031,0.7725697317235342,0.66525998492841,0.6662648181635523,OK
300,3,0.01,0.8,0.8,2,1,0.6645239051828044,0.6216583597643861,0.7835522558537978,0.5152084115659031,0.7725667231279766,0.665209758911333,0.6662145871006631,OK
300,3,0.01,0.8,1.0,1,0,0.7280032141422258,0.5136494252873564,0.40833809251856085,0.6921587608906099,0.7731241981871618,0.7247841990792276,0.7292043399638336,OK
300,3,0.01,0.8,1.0,1,1,0.7280032141422258,0.5136494252873564,0.40833809251856085,0.6921587608906099,0.7731084473045373,0.7247339730621507,0.7292043399638336,OK
300,3,0.01,0.8,1.0,2,0,0.6538770590598634,0.6192265193370167,0.8001142204454598,0.5050468637346792,0.7726290187536379,0.6560174389374138,0.6559172192083584,OK
300,3,0.01,0.8,1.0,2,1,0.6538770590598634,0.6192265193370167,0.8001142204454598,0.5050468637346792,0.7726154800736292,0.6560174389374138,0.6558669881454692,OK
300,3,0.01,1.0,0.6,1,0,0.7245881880273202,0.49353527890653864,0.3814962878355226,0.698744769874477,0.7707175872054696,0.723930268473895,0.7291038778380551,OK
300,3,0.01,1.0,0.6,1,1,0.7241864202490961,0.4927964536387143,0.38092518560822386,0.6976987447698745,0.770528399637765,0.7241311725422024,0.729254571026723,OK
300,3,0.01,1.0,0.6,2,0,0.6850140618722379,0.615874571288584,0.7178754997144489,0.5392535392535392,0.7701223277256061,0.6870607257905487,0.6888687964637332,OK
300,3,0.01,1.0,0.6,2,1,0.6850140618722379,0.615874571288584,0.7178754997144489,0.5392535392535392,0.7701173723917467,0.6870606879412519,0.6888687964637332,OK
300,3,0.01,1.0,0.8,1,0,0.7243873041382081,0.5089477451682175,0.40605368360936606,0.6816874400767018,0.7715461898172491,0.7259394984034536,0.7282499497689371,OK
300,3,0.01,1.0,0.8,1,1,0.7245881880273202,0.5094812164579606,0.4066247858366648,0.6819923371647509,0.7715704355579184,0.7259394857870213,0.7280490255173799,OK
300,3,0.01,1.0,0.8,2,0,0.6653274407392528,0.6217075386012716,0.7818389491719018,0.5160196004523181,0.7711242785343608,0.6628989331670994,0.6675708257986739,OK
300,3,0.01,1.0,0.8,2,1,0.6653274407392528,0.6217075386012716,0.7818389491719018,0.5160196004523181,0.7711242785343608,0.662798455900081,0.6675708257986739,OK
300,3,0.01,1.0,1.0,1,0,0.7271996785857774,0.5125628140703518,0.4077669902912621,0.6898550724637681,0.771976595958182,0.7250855299488239,0.7281997187060478,OK
300,3,0.01,1.0,1.0,1,1,0.7274005624748895,0.5134456794550019,0.4089091947458595,0.6897880539499036,0.771993674162376,0.7251860072158423,0.7285513361462729,OK
300,3,0.01,1.0,1.0,2,0,0.652872639614303,0.6205533596837944,0.806967447173044,0.504102747056725,0.7717117510610166,0.6512455257399822,0.6541089009443439,OK
300,3,0.01,1.0,1.0,2,1,0.652872639614303,0.6205533596837944,0.806967447173044,0.504102747056725,0.7716939649519855,0.6511450610893961,0.6540586698814547,OK
