precio_total,margen,codigo_modelo_codificado,total_ventas
"14332,23","0,11070000439882278",43N83W29J31K47O31K11D41M89X47O,466
"25346,12","0,14759999670088292",73U17B19H83W47O31K7D,458
"24749,7","0,14759999670088292",89X43N3B101Z47O31K79V83W10C43N,456
"27274,38","0,12300000183284282",37L43N83W71T47O31K79V,454
"31592,93","0,14759999670088292",73U17B19H79V47O31K61R41M10C43N,446
"28315,7","0,12300000183284282",43N53P10C17G47O31K89X10C41M10C,440
"18065,81","0,12300000183284282",43N47O13F89X47O31K37L,436
"28644,55","0,14759999670088292",73U79V7D73U47O31K47O41M89X47O,436
"27373,96","0,14759999670088292",73U37L23I11D47O31K12E41M10C43N,434
"15241,32","0,11070000439882278",43N71T7D11D47O31K73U41M101Z47O,432
"22344,14","0,12300000183284282",43N59Q31K83W47O31K47O,426
"27254,67","0,14759999670088292",73U37L23I11D47O31K11D41M10C43N,418
"26861,16","0,12300000183284282",37L43N89X53P47O37L101Z,416
"21859,05","0,12300000183284282",37L43N89X31K47O41M13G,408
"18183,47","0,12300000183284282",37L31K43N61R47O31K101Z7D10C43N,406
"30009,92","0,12300000183284282",43N53P10C17G47O31K103A,404
"26837,18","0,12300000183284282",43N59Q31K89X47O31K101Z10C41M37L,402
"25381,91","0,14759999670088292",73U79V7D89X47O31K11D41M89X47O,402
"27628,43","0,14759999670088292",89X43N17G47O47O31K13G41M89X47O,394
"15237,19","0,11070000439882278",43N83W29J31K47O31K12E5C10C43N,392
"18861,03","0,12300000183284282",43N47O13F89X47O31K103A,380
"22580,17","0,12300000183284282",37L43N83W13G47O37L37L,376
"21206,96","0,14759999670088292",73U79V7D37L47O31K73U41M101Z47O,376
"20679,34","0,12300000183284282",37L43N83W41M47O31K37L,374
"18497,52","0,12300000183284282",43N61R2A11D47O31K61R,368
"30154,55","0,09839999780058861",43N89X11E71T47O31K53P,366
"27433,6","0,12300000183284282",43N59Q37L41M47O31K101Z10C41M10C,360
"25664,21","0,14759999670088292",73U17B19H83W47O31K7D41M10C43N,360
"12881,82","0,11070000439882278",43N83W29J31K47O37L59Q,358
"19540,95","0,12300000183284282",43N79V23I13F47O31K83W41M89X47O,354
"14456,2","0,11070000439882278",43N71T7D11D47O37L103A41M101Z47O,350
"29183,47","0,12300000183284282",43N53P10C11E47O31K103A,348
"24778,51","0,12300000183284282",37L59Q61R61R47O31K101Z,348
